store_name,igive_url,donation_rate
Dusit Hotels & Resorts + ASAI Hotels,https://www.iGive.com/dusit,1.6%
DX,https://www.iGive.com/dx,2.0%
Dylan's Candy Bar,https://www.iGive.com/dylans-candy-bar,2.4%
e.l.f. (Eyes Lips Face),https://www.iGive.com/elf,2.8%
Eagle Creek,https://www.iGive.com/eaglecreek,4.8%
Eastern Mountain Sports,https://www.iGive.com/eastern-mountain-sports,2.0%
Easy Spirit,https://www.iGive.com/easy-spirit,0.8%
EasyGarage,https://www.iGive.com/easygarage,0.8%
Eatwith,https://www.iGive.com/eatwith,2.0%
eCampus,https://www.iGive.com/ecampus,2.0%
Ecosa,https://www.iGive.com/ecosa,0.8%
Ecowise Wellnes,https://www.iGive.com/ecowisevitamins,10.0%
Eddie Bauer,https://www.iGive.com/Eddie-Bauer,1.6%
Edureka,https://www.iGive.com/edurek,6.0%
edX,https://www.iGive.com/edX,3.2%
Effy Jewelry,https://www.iGive.com/effyjewelry,1.2%
Ego Home,https://www.iGive.com/egohome,4.0%
eharmony,https://www.iGive.com/eharmony,16.0%
Eileen Fisher,https://www.iGive.com/eileen-fisher,1.6%
ejuice.deals,https://www.iGive.com/ejuice,2.0%
Ekrin Athletics,https://www.iGive.com/Ekrin,4.0%
Electrical Wholesalers,https://www.iGive.com/electrical-wholesalers,1.6%
ELEMIS,https://www.iGive.com/elemis,1.6%
Elixinol,https://www.iGive.com/elixinol,1.2%
Elizabeth Arden,https://www.iGive.com/elizabetharden,2.8%
ELOQUII,https://www.iGive.com/eloquii,1.6%
eManual Online,https://www.iGive.com/emanual,6.0%
Embark Vet,https://www.iGive.com/embark,4.0%
Embassy Suites,https://www.iGive.com/embassy-suites,0.4%
Emedco,https://www.iGive.com/emedco,4.0%
Emjay,https://www.iGive.com/emjay,2.4%
EnergyFirst,https://www.iGive.com/energyfirst,0.4%
Enjoy Flowers,https://www.iGive.com/enjoy-flowers,Special Rate
Enterprise Rent-A-Car,https://www.iGive.com/enterprise,0.8%
Entertainment Books,https://www.iGive.com/entertainment,11.2%
Entertainment Earth,https://www.iGive.com/entertainment-earth,2.0%
Entirely Pets,https://www.iGive.com/entirely-pets,2.4%
Epson,https://www.iGive.com/epson,0.8%
ePumps,https://www.iGive.com/epumps,1.2%
Equestrian Collections,https://www.iGive.com/equestrian-collections,2.8%
Erno Laszlo,https://www.iGive.com/erno-laszlo,3.2%
ESET,https://www.iGive.com/store.eset,8.0%
eSmartTax,https://www.iGive.com/esmart-tax,2.0%
EssayEdge,https://www.iGive.com/essay-edge,2.0%
Estee Lauder,https://www.iGive.com/estee-lauder,1.6%
Esurance,https://www.iGive.com/esurance,Special Rate
Ethel M Chocolate,https://www.iGive.com/ethel-m,1.2%
Ettika,https://www.iGive.com/ettika,2.4%
Ettitude,https://www.iGive.com/ettitude,1.6%
Eufy,https://www.iGive.com/eufy,2.8%
Europcar,https://www.iGive.com/europcar,2.8%
Even Hotels,https://www.iGive.com/even-hotels,1.6%
EveryPlate,https://www.iGive.com/everyplate,Special Rate
Expedia.ca,https://www.iGive.com/expedi,0.8%
Expedia.com,https://www.iGive.com/expedia,0.8%
Extended Stay America,https://www.iGive.com/extended-stay,1.2%
Eyeconic,https://www.iGive.com/eyeconic,1.2%
Eyeglasses.com,https://www.iGive.com/eyeglasses,2.4%
EZ Lifestyle,https://www.iGive.com/ez-lifestyle,12.0%
Fabletics,https://www.iGive.com/fabletics,Special Rate
Fairmont Hotels & Resorts,https://www.iGive.com/fairmont,2.0%
Fairway Golf,https://www.iGive.com/fairway-golf,2.4%
Famous Footwear,https://www.iGive.com/famous-footwear,0.4%
Fanatics,https://www.iGive.com/fanatics,0.8%
Fancy Sprinkles,https://www.iGive.com/fancysprinkles,2.0%
Fare Buzz,https://www.iGive.com/fare-buzz,Special Rate
FARFETCH,https://www.iGive.com/farfetch,1.6%
Farmhouse Fresh,https://www.iGive.com/farmhouse-fresh,4.0%
Fathead,https://www.iGive.com/Fathead,1.2%
Faux Wood Beams,https://www.iGive.com/faux-wood-beams,1.2%
FauxPanels,https://www.iGive.com/fauxpanels,1.2%
FaxitFast,https://www.iGive.com/fax-it-fast,Special Rate
Faxon,https://www.iGive.com/faxon,2.8%
FedEx Office,https://www.iGive.com/Fedex-office,1.2%
Felt Paper Scissors,https://www.iGive.com/felt-paper-scissors,2.0%
Fiber Cables Direct,https://www.iGive.com/fcd,2.4%
Fidelity Denim,https://www.iGive.com/fidelity-denim,4.0%
FiltersFast,https://www.iGive.com/filters-fast,0.4%
Findmypast,https://www.iGive.com/find-my-past,4.0%
FineJewelers,https://www.iGive.com/finejewelers,2.0%
FineStationery,https://www.iGive.com/fine-stationery,1.2%
Finish Line,https://www.iGive.com/finish-line,2.0%
Finish Line - Student Exclusive,https://www.iGive.com/studentbeans,Special Rate
Fishwest,https://www.iGive.com/fishwest,3.2%
FitFlop,https://www.iGive.com/fit-flop,4.0%
Fiverr,https://www.iGive.com/fiverr,Special Rate
Fleet Feet,https://www.iGive.com/fleet-feet,0.4%
Florsheim,https://www.iGive.com/florsheim,0.8%
Florsheim Canada,https://www.iGive.com/florsheim-canada,2.0%
Flower Shopping,https://www.iGive.com/flower-shopping,0.4%
