store_name,category,donation_rate,igive_url,actual_store_url
CardCash,"Travel, Hotels & Vehicles",0.8%,https://www.iGive.com/card-cash,https://www.cardcash.com
Carhartt,"Travel, Hotels & Vehicles",0.4%,https://www.iGive.com/carhartt,Manual Check Required
Carl's Golfland,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/carls-golfland,https://www.carlsgolfland.com
Carmel Car & Limo,"Travel, Hotels & Vehicles",3.0%,https://www.iGive.com/carmel-car,Manual Check Required
Carmen Sol,"Travel, Hotels & Vehicles",2.0%,https://www.iGive.com/carmen-sol,https://carmensol.com
Carol's Daughter,"Travel, Hotels & Vehicles",3.2%,https://www.iGive.com/carols-daughter,https://carolsdaughter.com
Carolina,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/Carolina,https://www.carolina.com
Carter's,"Travel, Hotels & Vehicles",0.8%,https://www.iGive.com/carters,Manual Check Required
Casetify,General Retail & Shopping,2.0%,https://www.iGive.com/casetify,https://www.casetify.com
Cashmere Boutique,"Apparel, Shoes & Fashion",2.8%,https://www.iGive.com/cashmere-boutique,https://www.cashmere-boutique.com
Cat Footwear,Pets & Animals,2.8%,https://www.iGive.com/cat-footwear,https://www.catfootwear.com
Cats Play,Pets & Animals,2.4%,https://www.iGive.com/cats-play,https://www.catsplay.com
Caudalie,General Retail & Shopping,0.8%,https://www.iGive.com/caudalie,https://www.caudalie.com
Caudalie CA,General Retail & Shopping,1.6%,https://www.iGive.com/ca-en.caudalie,https://www.caudalie.com
CBDistillery,"Health, Beauty & Personal Care",8.0%,https://www.iGive.com/cbdistillery,Manual Check Required
Certified Piedmontese,General Retail & Shopping,6.0%,https://www.iGive.com/piedmontese,https://www.piedmontese.com
Chacos,General Retail & Shopping,3.2%,https://www.iGive.com/chaco,https://www.chacos.com
Chadwicks of Boston,General Retail & Shopping,2.0%,https://www.iGive.com/chadwicks,https://www.chadwicks.com
Champion,General Retail & Shopping,3.2%,https://www.iGive.com/champion,https://www.champion.com
